,city,sentiment,lat,lng,population,chain
0,Alhambra,0.0969779789879616,33.83529200000201,-117.91450300000218,336265,starbucks
1,Anaheim,0.142903635537101,38.004922000000064,-121.80578899999956,102372,starbucks
2,Antioch,0.1233547912992357,35.373292000000184,-119.01871099999975,347483,starbucks
3,Bakersfield,0.0992184371042789,34.08528600000074,-117.9608969999986,75390,starbucks
4,Baldwin Park,0.1083044742382435,33.88168300000003,-118.11701100000008,76616,starbucks
5,Bellflower,0.087532242063492,37.871592000000014,-122.27274700000038,112580,starbucks
6,Berkeley,0.0378916074005359,33.86751399999972,-117.99811700000024,80530,starbucks
7,Buena Park,0.1481882481621012,33.15809199999976,-117.35059400000117,105328,starbucks
8,Carlsbad,0.1233186983540367,33.83140600000043,-118.28201700000164,91714,starbucks
9,Carson,0.1072127565313382,39.72849399999997,-121.83747800000006,86187,starbucks
10,Chico,0.1286139832065649,34.01223599999981,-117.68894400000046,77983,starbucks
11,Chino,0.0873344882944999,32.640053000000066,-117.08419700000012,243916,starbucks
12,Chula Vista,0.17417019876259,36.82522799999981,-119.70291900000062,95631,starbucks
13,Clovis,0.1244047551465186,33.89585000000003,-118.22007200000006,96455,starbucks
14,Compton,0.1299154334038054,37.97797800000033,-122.03107199999975,122067,starbucks
15,Concord,0.1025194552311487,33.87529400000006,-117.56643899999932,152374,starbucks
16,Corona,0.1762247293706847,33.641132999999186,-117.9186690000036,109960,starbucks
17,Costa Mesa,0.1220570579174357,37.68792500000181,-122.47020799999936,101123,starbucks
18,Daly City,0.0953389612877223,33.94001400000001,-118.13256900000005,111772,starbucks
19,Downey,0.1536458333333333,32.79477199999976,-116.96252799999834,99478,starbucks
20,El Cajon,0.0999017634606362,33.11920800000006,-117.08642200000028,143911,starbucks
21,Escondido,0.1211043110866616,38.24935800000002,-122.0399669999999,105321,starbucks
22,Fairfield,0.1036786039552433,34.09223300000002,-117.43504699999995,196069,starbucks
23,Fontana,0.1190075298454372,37.54826899999998,-121.98857200000008,214089,starbucks
24,Fremont,0.1596717735389611,36.7468420000002,-119.77258599999948,494665,mcdonalds
25,Fresno,0.1219485418608759,33.87029199999966,-117.92533899999783,135161,starbucks
26,Fullerton,0.1390063296145852,33.77390600000128,-117.94144700000211,170883,starbucks
27,Garden Grove,0.1338912856097612,34.142507999999935,-118.2550749999996,191719,starbucks
28,Glendale,0.1313364599596669,33.916402999999974,-118.35257499999992,84293,starbucks
29,Hawthorne,0.1211066308243727,37.66881900000032,-122.08079700000036,144186,subway
30,Hayward,0.0856010162847583,33.747519000000004,-116.97196700000016,78657,starbucks
31,Hemet,0.1056187826930014,34.4263890000001,-117.30087799999995,90173,starbucks
32,Hesperia,0.1625156562678673,33.66029699999995,-117.99922499999978,189992,starbucks
33,Huntington Beach,0.1441441316106452,33.72057800000015,-116.2155610000006,76036,starbucks
34,Indio,0.0981574153117079,33.96168099999827,-118.35313100000567,109673,starbucks
35,Inglewood,0.0806983655168962,33.68394700000002,-117.79469399999948,212375,starbucks
36,Irvine,0.1137300671362641,33.853628000000214,-118.13395599999986,80048,starbucks
37,Lakewood,0.1440203688187558,34.68678599999999,-118.15416400000002,156633,starbucks
38,Lancaster,0.1283668154761904,37.68187500000015,-121.76800799999944,80968,subway
39,Livermore,0.1258387233797948,33.768321999999905,-118.1956169999993,462257,starbucks
40,Long Beach,0.1065864845031511,34.05223299999878,-118.24368600000152,3792621,starbucks
41,Los Angeles,0.1246550367003706,37.30216400000005,-120.48296699999992,78958,starbucks
42,Merced,0.1261587033462033,33.600022000000024,-117.671994,93305,mcdonalds
