city,lat,lng,population,sentiment
Alhambra,34.095286000000094,-118.1270139999998,83089,0.05189094261716546
Anaheim,33.83529200000047,-117.91450300000385,336265,0.04133853948262132
Antioch,38.00492200000002,-121.805789,102372,0.06439915458937198
Bakersfield,35.37329200000016,-119.0187110000004,347483,0.0401298246223705
Baldwin Park,34.085286000000515,-117.96089699999833,75390,0.025701292015777626
Buena Park,33.86751399999972,-117.99811700000028,80530,0.06157137787587635
Carlsbad,33.15809199999986,-117.35059399999962,105328,0.028656365438857592
Carson,33.83140600000043,-118.28201700000163,91714,0.03698405482887616
Chico,39.72849399999997,-121.83747800000006,86187,0.01979931300583474
Chula Vista,32.64005300000002,-117.08419700000006,243916,0.06612609329446066
Clovis,36.825227999999804,-119.70291900000062,95631,0.04179505901962449
Concord,37.97797799999996,-122.03107199999984,122067,0.08586462302526755
Corona,33.875293999999954,-117.56643900000013,152374,0.06311453878283695
Costa Mesa,33.64113299999966,-117.91866899999917,109960,0.05201355877230132
Daly City,37.687924999998906,-122.47020800000257,101123,0.05494342002706103
Downey,33.94001400000001,-118.13256900000005,111772,-0.006510416666666665
El Cajon,32.79477200000014,-116.962528,99478,0.05388420011583276
Escondido,33.11920800000006,-117.08642200000023,143911,0.07434811455403942
Fairfield,38.24935800000002,-122.03996699999992,105321,0.027732398176940426
Fontana,34.09223300000002,-117.43504699999995,196069,0.009176334776334772
Fremont,37.54826899999998,-121.98857200000009,214089,0.1596717735389611
Fresno,36.74684200000008,-119.77258599999931,494665,0.03574270021458775
Fullerton,33.87029199999966,-117.92533899999783,135161,0.049532710358927486
Garden Grove,33.77390599999998,-117.94144700000065,170883,0.05603099344064868
Glendale,34.14250799999998,-118.25507500000002,191719,0.1262670068027211
Hawthorne,33.916402999999974,-118.35257499999992,84293,0.007789417272705441
Hesperia,34.42638899999998,-117.30087799999998,90173,-0.018860500044173507
Huntington Beach,33.66029699999995,-117.99922499999978,189992,0.07765068265068262
Indio,33.720578000000025,-116.21556100000043,76036,0.0660519917816044
Inglewood,33.96168099999827,-118.35313100000569,109673,0.06968294385981422
Irvine,33.68394700000002,-117.79469399999947,212375,0.040495195347893385
Lancaster,34.68678599999999,-118.15416399999987,156633,0.0374694591529896
Livermore,37.681875000000026,-121.768008,80968,0.07734468005952383
Long Beach,33.768321999999934,-118.19561699999991,462257,0.0636210107022607
Los Angeles,34.05223299999997,-118.24368599999983,3792621,0.04234807610233013
Merced,37.30216400000002,-120.48296699999995,78958,0.12615870334620335
Mission Viejo,33.600022000000024,-117.67199400000001,93305,0.03226956090407178
Modesto,37.63909700000014,-120.99687800000024,201165,0.033680415565301755
Napa,38.297538999999986,-122.28686400000001,76915,0.03803127803127802
Newport Beach,33.61891099999972,-117.92894700000029,85186,0.05813375602244404
Oakland,37.80436400000005,-122.27111399999986,390724,0.09342989599686027
Oceanside,33.19586900000008,-117.37948300000038,167086,0.025927130709914
Ontario,34.063344000000114,-117.65088899999918,163924,0.018696484898695676
Orange,33.78779399999987,-117.85311099999869,136416,0.032042628083055864
Oxnard,34.19750600000017,-119.17705299999966,197899,0.035279200190177086
Palmdale,34.57943300000002,-118.116461,152750,-0.07824062998405104
Pomona,34.05522800000011,-117.7523059999995,149058,0.04239587067365941
Rancho Cucamonga,34.10640000000011,-117.59310800000041,165269,0.030725152049370805
Redwood City,37.48521400000016,-122.2363560000007,76815,0.03735823093838858
Rialto,34.106399999999994,-117.3703249999999,99171,0.013437354108309991
Richmond,37.93575800000004,-122.34775000000002,103701,0.08089755639097745
Riverside,33.95334999999992,-117.39615600000006,303871,0.03406649055842605
Roseville,38.75212199999995,-121.28800600000017,118788,0.06955250341763498
Sacramento,38.581571999999774,-121.49440000000006,466488,0.053658312130837535
Salinas,36.67773600000005,-121.65549999999992,150441,0.04569873162264468
San Bernardino,34.10834400000017,-117.28976400000043,209924,0.04789271105913574
San Diego,32.71532800000001,-117.15725600000019,1307402,0.07195717839374556
San Francisco,37.77493099999993,-122.41941699999799,805235,0.06564997276256924
San Jose,37.33938599999968,-121.89495600000203,945942,0.111020050321643
San Leandro,37.72493100000022,-122.156078,84950,0.04212450376512876
San Marcos,33.14337200000021,-117.16614399999973,83781,0.06542758132720254
Santa Ana,33.74557199999983,-117.86783299999809,324528,0.04272681625328729
Santa Barbara,34.420830999999936,-119.69818900000021,88410,0.0858661343325209
Santa Clara,37.35410799999958,-121.95523600000217,116468,0.10943976731619437
Santa Clarita,34.39166399999994,-118.54258599999966,176320,0.06327724679752006
Santa Maria,34.953032999999955,-120.43571899999998,99553,0.09888649190315858
Santa Monica,34.01945300000074,-118.491191999991,89736,0.06824995981293693
Santa Rosa,38.44046699999994,-122.71443100000015,167815,0.0924742192331478
Stockton,37.95770300000003,-121.29078099999978,291707,0.057865012451706
Sunnyvale,37.36883099999987,-122.03635000000021,140081,0.07727328914141413
Temecula,33.49363899999998,-117.14836400000024,100097,0.03918696783349101
Torrance,33.83584999999974,-118.34062800000041,145438,0.046630424536484534
Tracy,37.73964999999999,-121.42522199999988,82922,0.052832875982961984
Tustin,33.745849999999706,-117.8261669999994,75540,0.03395485566225624
Vallejo,38.10408600000003,-122.25663600000004,115942,0.07811742424242424
Victorville,34.53610799999998,-117.291158,115903,-0.015553910405702684
Visalia,36.33022800000001,-119.292058,124442,0.038370998116760834
Vista,33.20003600000013,-117.2425360000005,93834,0.06001139302696629
West Covina,34.06862199999973,-117.93895300000042,106098,0.02716352030217712
Westminster,33.751341999999696,-117.99399200000094,89701,0.035652350787567136
