city,lat,lng,population,sentiment
Alhambra,34.09528600000008,-118.12701399999982,83089,0.07641917986441502
Anaheim,33.835291999999875,-117.914503,336265,0.029478895574936645
Bakersfield,35.373292000000134,-119.01871100000028,347483,0.049784484444481254
Baldwin Park,34.08528600000015,-117.9608970000005,75390,0.018755026130026133
Bellflower,33.88168300000001,-118.11701100000002,76616,0.07737884160756502
Berkeley,37.871592000000014,-122.27274700000038,112580,-0.008009592440868922
Buena Park,33.86751399999972,-117.99811700000025,80530,0.05064201522818689
Carlsbad,33.15809199999998,-117.35059399999976,105328,0.05109374999999999
Carson,33.831405999999774,-118.28201699999963,91714,0.06402368546033872
Chula Vista,32.640053000000066,-117.08419700000012,243916,0.0360014794074427
Clovis,36.82522800000003,-119.70291899999978,95631,0.061475504509041094
Compton,33.89585000000001,-118.22007200000004,96455,0.09160119047619047
Costa Mesa,33.64113300000007,-117.91866899999965,109960,0.08262604309068125
Daly City,37.68792499999962,-122.47020800000558,101123,-0.002223291444622536
El Cajon,32.79477200000005,-116.962528,99478,0.005769985754041865
Escondido,33.119208000000015,-117.08642200000004,143911,0.017953545548654245
Fresno,36.746841999999916,-119.77258599999958,494665,0.01862568622691862
Fullerton,33.87029199999974,-117.92533900000075,135161,0.052123759525075315
Garden Grove,33.773906000000174,-117.94144699999904,170883,0.0401770442669267
Glendale,34.142507999999935,-118.2550749999996,191719,0.07018946480107197
Hawthorne,33.916402999999974,-118.35257499999992,84293,0.12110663082437276
Hesperia,34.4263890000001,-117.30087799999995,90173,0.022417506935552712
Huntington Beach,33.66029699999996,-117.9992249999998,189992,0.09332800284292822
Indio,33.72057799999998,-116.215561,76036,0.04706766917293234
Inglewood,33.961681000000524,-118.3531310000011,109673,0.06503923486932195
Irvine,33.68394700000004,-117.79469399999955,212375,0.04706810135140975
Lakewood,33.853628000000214,-118.13395599999986,80048,0.04844675506221765
Lancaster,34.68678599999999,-118.15416400000002,156633,0.12836681547619047
Long Beach,33.76832199999992,-118.19561700000023,462257,0.04470005761736889
Los Angeles,34.05223299999961,-118.24368600000129,3792621,0.04646492210367866
Newport Beach,33.61891099999998,-117.92894700000022,85186,0.08641900340678536
Norwalk,33.90223599999997,-118.081733,105549,0.060190573315573315
Oakland,37.80436399999981,-122.27111399999944,390724,0.009831326625444272
Oceanside,33.195868999999966,-117.37948299999992,167086,0.05658482142857143
Ontario,34.06334400000008,-117.65088900000036,163924,0.05871392528238398
Orange,33.78779399999988,-117.85311099999943,136416,0.01218678734601759
Palmdale,34.57943300000002,-118.11646100000002,152750,0.02890497031122031
Pomona,34.055228000000106,-117.75230599999976,149058,0.0868928272592707
Rancho Cucamonga,34.10639999999992,-117.59310799999982,165269,0.08605118060536848
Redding,40.58653899999997,-122.39167499999994,89861,-0.023184749278499284
Redwood City,37.48521399999995,-122.23635599999996,76815,0.08473093697812797
Rialto,34.106400000000015,-117.37032499999991,99171,0.12290874109055923
Richmond,37.93575800000003,-122.34774999999992,103701,-0.0247162472943723
Riverside,33.95335,-117.39615599999986,303871,0.00733418367346939
Sacramento,38.581572000000044,-121.49439999999967,466488,0.048594235607008616
San Bernardino,34.108343999999995,-117.28976400000009,209924,0.16432862612298096
San Francisco,37.77493100000091,-122.41941699999775,805235,-0.0014146616309755778
San Jose,37.33938599999982,-121.89495599999991,945942,0.04391631774942945
San Leandro,37.72493099999996,-122.15607800000001,84950,0.008056935667882415
San Marcos,33.143372,-117.16614399999986,83781,0.04487173507462685
Santa Ana,33.74557199999985,-117.8678329999989,324528,0.016243338557993724
Santa Barbara,34.420830999999964,-119.69818899999994,88410,0.011697931697931698
Santa Clara,37.3541079999997,-121.95523600000088,116468,0.028079429460265308
Santa Clarita,34.391664000000105,-118.54258599999972,176320,-0.024714187327823687
Santa Monica,34.01945300000061,-118.49119200000031,89736,0.07374318050181741
Stockton,37.95770300000002,-121.29078099999991,291707,0.06439043209876544
Sunnyvale,37.36883099999984,-122.0363499999997,140081,0.019634476239074685
Temecula,33.49363900000002,-117.1483639999999,100097,0.025988669590643273
Torrance,33.83585000000004,-118.34062800000065,145438,0.06156623007399015
Tustin,33.745849999999955,-117.82616699999949,75540,0.04087367362044088
Victorville,34.536108000000006,-117.291158,115903,0.0822482638888889
Vista,33.20003600000004,-117.24253599999987,93834,0.050747572055137836
West Covina,34.068621999999834,-117.9389530000005,106098,0.05573763235221568
Westminster,33.75134199999973,-117.99399200000042,89701,0.027351513758912666
